#loc_id;name;lat;lon;plz;adresse
23109;;5.422.568;1.096.994;23738;
23627;;541.343;1.088.321;23730;
23922;;5.418.761;1.075.563;23744;
24261;;5.406.665;1.076.888;23730;
24617;;5.388.788;1.064.507;23617;
24750;;5.407.735;1.071.555;23701;
24992;;5.399.753;1.078.062;23669;
25671;;5.427.269;10.766.056;23758;
23621;;540.352;107.512;23683,23684;
16452;;5.443.555;1.119.698;23769;
485;;537.278.938.775.510.000;96.979.597.959.183.600;;
13710;;5.365.964;974.216;25482;
14109;;537.893.682.107.897;977.226.791.126.724;25355;
14442;;537.556.509.363.528;977.098.447.425.361;25355;
14498;;5.376.965;987.624;25485;
14692;;5.366.529;991.382;25474;
14727;;538.667.154.501.489;973.416.726.346.494;25364;
14731;;537.880.696.688.075;973.618.281.228.538;25335;
14807;;5.368.402;98.061;25494;
14851;;538.551.254.141.606;970.513.033.922.196;25364;
15164;;537.663.981.319.767;974.853.639.645.572;25355;
16118;;536.572;986.975;25474;
16120;;537.275.101.673.501;977.074.508.709.904;25373;
16141;;537.552.973.008.561;965.623.957.259.651;25335,25336,25337;
17538;;537.019.107.420.616;964.959.082.348.352;25436;
17542;;538.180.035.553.392;973.184.702.141.281;25355;
17828;;5.363.411;98.376;25469;
17936;;536.617.753.339.703;962.006.797.237.392;25489;
17940;;536.343;959.626;25489;
17948;;5.369.353;991.165;25474;
18036;;53.783.780.787.891;980.737.869.782.444;25355;
18064;;537.096.681.692.393;967.814.293.844.705;25436;
18121;;536.549.331.787.384;965.669.800.682.073;25492;
18129;;541.828.640.617.142;78.855.991.488.266;27498;
18152;;537.629.243.835.983;983.715.926.451.679;25485;
18288;;5.360.709;963.723;25491;
18594;;5.362.151;96.715;25488;
19402;;5.371.136;964.729;25336;
19404;;538.047.876.012.666;969.322.656.435.962;25365;
19510;;537.574.101.331;969.775.400.118;25337;
19806;;5.369.326;979.226;25495;
24144;;537.173.828.979.577;959.724.058.551.787;25370;
19899;;537.949.216.188.937;985.263.225.777.145;25485;
20515;;538.329.953.305.018;976.821.576.399.799;25355;
21084;;536.677.402.529.403;965.997.231.347.566;25436;
21393;;536.745.347.819.175;958.815.884.931.093;25436;
22219;;538.668.459.324.812;970.164.480.860.711;25364;
22460;;5.366.282;979.665;25421;
22642;;5.368.212;976.997;25497;
22712;;5.373.186;990.396;25451;
22721;;537.556.081.196.572;961.138.901.455.398;25335;
22978;;5.365.161;982.942;25462;
23659;;5.360.085;982.257;22869;
24145;;537.040.542.593.132;956.732.657.892.703;25371;
24147;;537.412.596.906.038;973.015.052.421.089;25337;
24813;;536.777;985.641;25499;
25031;;536.973.296.003.241;971.218.419.415.956;25436;
